__quarterly__,y,cpi,ad_y,ad_cpi,rs,
2010-Q2,965.538689740683,539.414559396071,3.852209469611,0.589826152077,0.146666667,
2010-Q3,966.308860447767,539.645234058902,3.080682828339,0.922698651324,0.156666667,
2010-Q4,966.827110369205,539.952828452181,2.072999685752,1.230377573119,0.136666667,
2011-Q1,966.585903631402,540.545729810594,-0.964826951214,2.37160543365,0.126666667,
2011-Q2,967.261665957135,541.151806732608,2.703049302933,2.424307688058,0.046666667,
2011-Q3,967.22289127807,541.913874487413,-0.155098716258,3.04827101922,0.023333333,
2011-Q4,968.338325301368,542.470475965486,4.46173609319,2.226405912289,0.013333333,
2012-Q1,969.152921286022,542.988057356535,3.258383938615,2.070325564199,0.066666667,
2012-Q2,969.607745378211,543.46866036801,1.819296368758,1.922412045898,0.086666667,
2012-Q3,969.782475613588,543.905853932058,0.698920941505,1.74877425619,0.103333333,
2012-Q4,969.892253403181,544.370692242094,0.439111158375,1.859353240144,0.086666667,
2013-Q1,970.756299299795,544.850448741442,3.456183586457,1.919025997393,0.086666667,
2013-Q2,970.895587468536,545.083528571821,0.557152674964,0.932319321518,0.05,
2013-Q3,971.684123744181,545.578254734312,3.154145102578,1.978904649966,0.033333333,
2013-Q4,972.392777850684,545.989894034019,2.834616426012,1.646557198824,0.063333333,
2014-Q1,972.042053795755,546.4128371215,-1.402896219715,1.691772349926,0.046666667,
2014-Q2,973.318007678534,547.018446543813,5.103815531116,2.422437689252,0.033333333,
2014-Q3,974.476235889015,547.478012739901,4.632912841924,1.838264784352,0.026666667,
2014-Q4,974.924224323164,547.91864803071,1.791953736597,1.762541163234,0.023333333,
2015-Q1,975.734248378674,548.260504467477,3.240096222038,1.367425747069,0.026666667,
2015-Q2,976.31257427765,548.77938213205,2.313303595905,2.075510658293,0.02,
2015-Q3,976.635425225214,549.285977691671,1.291403790257,2.026382238482,0.04,
2015-Q4,976.781552753494,549.775958032638,0.584510113119,1.959921363868,0.123333333,
2016-Q1,977.369003744944,550.208100134728,2.349803965798,1.728568408359,0.286666667,
2016-Q2,977.67093627625,550.742284355832,1.207730125225,2.136736884418,0.256666667,
2016-Q3,978.270252164766,551.173241587124,2.397263554064,1.723828925167,0.296666667,
2016-Q4,978.765910542638,551.569097048555,1.98263351149,1.583421845724,0.43,
2017-Q1,979.194653240316,552.06299058674,1.714970790709,1.975574152743,0.59,
2017-Q2,979.697181431003,552.353476595198,2.010112762749,1.161944033828,0.89,
2017-Q3,980.521265228803,552.725874473476,3.296335191202,1.489591513114,1.036666667,
2017-Q4,981.521902202368,553.263426290482,4.002547894259,2.150207268022,1.206666667,
2018-Q1,982.212168236906,553.937548939255,2.761064138153,2.696490595093,1.56,
2018-Q2,982.907090967158,554.417173071585,2.779690921007,1.91849652932,1.84,
2018-Q3,983.626532681605,554.781458915484,2.877766857786,1.457143375598,2.04,
2018-Q4,983.808150854273,555.331869369016,0.726472690674,2.201641814127,2.316666667,
2019-Q1,984.349394096585,555.989029222033,2.164972969246,2.628639412068,2.386666667,
2019-Q2,985.02014844196,556.438629871368,2.683017381502,1.79840259734,2.3,
2019-Q3,985.906178053663,556.972014758712,3.54411844681,2.133539549376,1.98,
2019-Q4,986.348246384076,557.561824046275,1.768273321655,2.359237150252,1.576666667,
2020-Q1,985.166132669215,558.171778566546,-4.728454859447,2.439818081086,1.11,
2020-Q2,976.300128790292,558.115271244826,-35.464015515689,-0.22602928688,0.143333333,
2020-Q3,983.861404196253,558.949955656054,30.245101623841,3.33873764491,0.113333333,
2020-Q4,984.82000815083,559.509544450118,3.834415818308,2.238355176258,0.093333333,
2021-Q1,986.351020120436,559.934498954125,6.124047878427,1.699818016028,0.05,
2021-Q2,988.043630217348,561.558736715215,6.770440387648,6.496951044359,0.026666667,
2021-Q3,988.698177864146,562.896194099851,2.618190587193,5.349829538545,0.046666667,
2021-Q4,990.379655479002,564.543629688034,6.72591045942,6.58974235273,0.053333333,
2022-Q1,989.96847309672,566.284473281248,-1.644729529126,6.963374372859,0.306666667,
2022-Q2,989.82373442812,567.939187189794,-0.578954674399,6.618855634181,1.076666667,
2022-Q3,990.621697427339,569.645122224417,3.191851996875,6.823740138494,2.663333333,
2022-Q4,991.281863228696,571.000529501879,2.64066320543,5.421629109846,4.04,
